0.000,-0.000,-0.001,-0.001,0.002,-0.003,-0.001,0.002,-0.000,0.002,0.003,-0.001
-0.000,-0.001,0.000,-0.000,-0.002,-0.005,0.005,0.003,0.002,-0.000,-0.001,-0.001
0.006,0.005,0.006,-0.005,-0.004,0.009,-0.002,-0.003,-0.002,-0.005,0.003,0.002
-0.001,-0.001,-0.002,-0.009,-0.019,-0.032,0.029,0.018,0.010,0.006,-0.005,-0.010
0.001,-0.002,-0.000,-0.016,-0.021,-0.037,0.039,0.026,0.017,0.005,-0.008,-0.019
0.002,0.000,0.003,0.024,0.045,0.076,-0.069,-0.047,-0.025,-0.014,0.015,0.027
0.000,0.000,0.001,0.004,0.006,0.011,-0.010,-0.007,-0.002,0.001,0.003,0.006
-0.001,-0.000,0.001,0.000,-0.001,-0.002,0.001,0.001,0.001,0.004,0.004,0.004
0.001,-0.001,-0.001,-0.002,-0.003,-0.007,0.003,0.002,0.002,0.001,-0.002,-0.003
-0.003,0.013,0.009,0.013,0.016,0.048,-0.051,-0.035,-0.006,-0.009,0.018,0.029
-0.000,-0.001,-0.002,-0.003,-0.001,-0.003,0.003,0.001,-0.001,0.003,0.001,-0.003
-0.000,0.003,-0.000,-0.005,-0.006,-0.010,0.013,0.003,0.004,0.003,-0.000,-0.004
0.023,0.023,-0.024,-0.010,0.010,-0.009,-0.003,-0.014,0.015,0.020,-0.012,-0.033
-0.011,-0.018,-0.027,-0.011,-0.019,-0.019,0.044,0.036,0.011,0.016,0.003,-0.015
-0.019,0.005,-0.016,0.001,0.015,0.029,0.026,-0.073,-0.007,-0.005,-0.010,0.046
0.034,-0.007,-0.041,-0.041,-0.009,-0.000,0.048,0.035,-0.027,-0.015,-0.004,0.014
0.031,-0.020,-0.025,0.017,-0.037,-0.052,0.068,0.018,0.015,0.027,-0.024,-0.035
-0.047,0.008,-0.020,0.048,0.047,0.036,-0.060,-0.074,0.030,-0.018,0.028,0.037
-0.042,-0.009,0.026,-0.008,0.016,0.017,-0.053,-0.008,0.031,0.003,0.016,0.017
-0.002,-0.020,-0.006,-0.003,0.025,0.029,-0.010,-0.029,-0.011,0.005,0.022,0.021
0.036,0.019,-0.043,-0.015,0.021,0.009,-0.012,-0.067,0.060,0.041,-0.102,0.039
-0.028,0.010,0.004,-0.026,0.011,0.069,-0.030,-0.058,0.042,-0.042,0.019,0.025
-0.020,0.020,0.009,0.010,-0.003,0.026,-0.013,-0.022,-0.013,0.018,-0.020,0.004
0.035,0.016,-0.001,-0.017,-0.000,0.004,-0.004,0.051,0.006,-0.028,-0.018,-0.031
0.004,0.003,0.002,0.006,0.009,0.010,-0.009,-0.009,-0.000,0.001,0.006,0.007
-0.001,-0.003,-0.001,-0.002,0.007,0.002,0.001,0.003,-0.007,-0.001,-0.001,-0.003
-0.006,-0.003,0.003,0.004,-0.003,-0.005,-0.006,-0.004,-0.001,0.007,-0.005,-0.005
-0.004,-0.001,-0.002,-0.033,-0.042,-0.073,0.064,0.053,0.028,0.009,-0.019,-0.038
0.002,0.001,-0.002,-0.012,-0.017,-0.031,0.026,0.017,0.008,0.004,-0.008,-0.013
-0.003,-0.005,0.011,0.014,0.030,0.057,-0.032,-0.029,-0.020,-0.037,0.002,0.040
0.009,0.007,0.005,0.003,0.007,0.020,-0.016,0.003,-0.000,-0.006,0.008,0.015
-0.008,-0.002,0.002,-0.006,-0.005,-0.003,0.003,0.004,0.006,0.001,0.003,0.003
-0.000,-0.002,-0.009,-0.007,-0.013,-0.019,0.025,0.019,0.004,-0.005,0.003,-0.003
-0.009,0.009,0.005,0.005,0.020,0.029,-0.025,-0.023,-0.006,-0.008,0.009,0.009
-0.003,0.005,0.009,-0.003,-0.008,-0.009,0.015,0.009,-0.001,0.005,-0.011,-0.001
0.002,0.005,0.010,-0.003,0.009,0.019,-0.020,-0.006,-0.000,-0.014,0.008,0.014
-0.023,0.012,-0.032,-0.012,-0.050,-0.007,0.011,0.051,0.004,0.034,-0.022,-0.010
0.011,0.005,-0.014,-0.016,0.003,0.006,0.015,0.017,-0.013,-0.018,0.007,0.007
-0.020,0.012,-0.012,0.006,0.019,0.000,0.001,-0.047,0.049,-0.032,-0.018,0.037
-0.014,-0.018,0.012,0.009,-0.010,-0.037,0.049,-0.010,0.024,0.012,-0.037,0.014
0.018,-0.027,0.005,0.007,-0.020,-0.047,-0.002,0.052,0.012,0.022,-0.053,0.005
-0.034,-0.063,0.025,0.005,0.080,0.089,-0.082,-0.016,-0.046,-0.027,0.061,0.040
0.008,-0.002,0.002,-0.019,-0.027,0.012,0.033,-0.006,-0.014,0.007,0.008,-0.004
-0.006,-0.001,0.003,-0.011,-0.017,-0.043,0.020,0.009,0.009,0.013,0.005,0.002
-0.019,0.022,0.009,-0.011,0.020,-0.000,-0.021,-0.007,0.030,-0.042,0.034,-0.019
0.025,-0.031,-0.014,0.025,-0.003,-0.004,0.009,-0.002,-0.001,-0.003,-0.011,0.002
0.011,-0.014,0.002,-0.007,0.013,-0.029,0.022,-0.015,0.032,-0.024,0.017,-0.018
-0.020,-0.047,0.014,0.010,-0.021,0.005,0.018,-0.007,0.013,0.004,-0.032,0.029
-0.012,-0.028,0.012,0.008,0.016,0.016,0.000,0.000,0.000,0.000,0.000,0.000
-0.001,-0.003,-0.000,-0.001,0.020,-0.005,0.000,0.000,0.000,0.000,0.000,0.000
0.005,0.026,-0.019,-0.014,-0.017,0.027,-0.031,-0.074,-0.147,0.092,0.032,0.017
-0.035,-0.008,0.013,0.029,-0.034,-0.023,-0.035,-0.042,-0.101,0.068,0.035,0.040
0.002,-0.000,-0.002,-0.001,-0.001,0.002,0.001,0.000,-0.003,-0.005,-0.004,-0.004
-0.001,-0.000,-0.001,-0.003,0.008,0.008,0.000,0.000,0.000,0.000,0.000,0.000
-0.001,-0.002,-0.003,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000
0.117,0.052,0.057,-0.056,-0.070,-0.092,0.000,0.000,0.000,0.000,0.000,0.000
0.018,0.054,-0.004,-0.010,0.004,-0.012,0.000,0.000,0.000,0.000,0.000,0.000
-0.397,-5.175,1.594,0.991,0.789,0.269,0.000,0.000,0.000,0.000,0.000,0.000
-0.040,0.001,0.006,0.002,0.004,-0.010,-0.004,-0.009,0.012,0.019,0.067,0.061
0.041,0.123,0.234,-0.135,-0.070,0.017,0.000,0.000,0.000,0.000,0.000,0.000
0.100,0.142,0.257,-0.195,-0.118,-0.057,-0.063,-0.010,0.021,0.004,0.005,0.004
0.040,0.033,0.103,-0.131,-0.061,-0.023,-0.024,-0.008,0.003,0.005,0.013,0.056
0.066,0.134,0.225,-0.198,-0.118,-0.041,-0.015,-0.008,-0.013,-0.034,-0.030,-0.065
0.002,-0.007,0.063,-0.086,-0.043,-0.019,0.004,-0.020,-0.006,0.048,0.036,0.060
0.033,0.060,0.136,-0.052,-0.046,0.014,0.000,0.000,0.000,0.000,0.000,0.000
-0.013,0.012,0.045,0.052,0.055,-0.051,-0.040,-0.024,-0.005,0.016,0.034,0.050
0.195,-0.150,-0.082,-0.079,0.011,0.052,0.000,0.000,0.000,0.000,0.000,0.000
-0.022,-0.036,0.021,0.008,0.001,-0.024,0.000,0.000,0.000,0.000,0.000,0.000
-0.049,-0.011,0.014,0.034,-0.001,0.019,0.000,0.000,0.000,0.000,0.000,0.000
0.004,0.004,-0.008,0.007,0.009,0.008,0.000,0.000,0.000,0.000,0.000,0.000
-0.063,-0.113,-0.184,0.097,0.063,0.040,0.000,0.000,0.000,0.000,0.000,0.000
-0.024,-0.027,-0.034,0.020,0.026,0.048,0.000,0.000,0.000,0.000,0.000,0.000
